zp,mu,absmagnitude,magnitude,time,e_absmagnitude,upperlimit,z,instrument,e_magnitude,e_flux,name,flux,band,e_zp,facility
-48.6,37.65880949200498,-15.653000684492177,22.0058088075128,58153.992556,5.4012622926319285,False,0.07944,Kepler,8.67937939408788,2.7963303404355267e-29,2017jgh,5.7236949163345e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.609244782046652,22.049564709958325,58154.01299,5.6230606755424795,False,0.07944,Kepler,8.910160157103125,2.7963303404355267e-29,2017jgh,5.497612382765804e-29,K,0.0,Kepler
-48.6,37.65880949200498,-13.637882862522197,24.02092662948278,58154.033423,34.52224479828597,False,0.07944,Kepler,6.971266573771717,2.7963303404355267e-29,2017jgh,8.946009359544154e-30,K,0.0,Kepler
-48.6,37.65880949200498,-14.828636101603188,22.83017339040179,58154.053857,11.535092037534119,False,0.07944,Kepler,11.404560557575753,2.7963303404355267e-29,2017jgh,2.678740499921128e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.874684393714524,22.784125098290453,58154.07429,11.059099480184887,False,0.07944,Kepler,11.392060831110017,2.7963303404355267e-29,2017jgh,2.7947950197627345e-29,K,0.0,Kepler
-48.6,37.65880949200498,-13.176079713310365,24.482729778694612,58154.094724,52.814452031808365,False,0.07944,Kepler,4.904527359170913,2.7963303404355267e-29,2017jgh,5.846663357756808e-30,K,0.0,Kepler
-48.6,37.65880949200498,-14.842905411209848,22.81590408079513,58154.115158,11.373290938132177,False,0.07944,Kepler,-11.402882192574321,2.7963303404355267e-29,2017jgh,-2.7141782607281813e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.453812626001245,22.204996866003732,58154.135591,6.484805002477599,False,0.07944,Kepler,9.693506790770778,2.7963303404355267e-29,2017jgh,4.764323620336538e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.711876315610517,21.94693317639446,58154.156025000004,5.115304284641952,False,0.07944,Kepler,8.364929555711852,2.7963303404355267e-29,2017jgh,6.04264011430864e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.55658099300063,23.102228499004347,58154.176458,14.817514916837602,False,0.07944,Kepler,11.070742511419478,2.7963303404355267e-29,2017jgh,2.0850121995217628e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.005995316815948,22.65281417518903,58154.196892,9.79510710035967,False,0.07944,Kepler,11.244815263551684,2.7963303404355267e-29,2017jgh,3.154091804247764e-29,K,0.0,Kepler
-48.6,37.65880949200498,-12.490568232153187,25.16824125985179,58154.217326,99.30295164854806,False,0.07944,Kepler,-2.7645874280808913,2.7963303404355267e-29,2017jgh,-3.1095926138887008e-30,K,0.0,Kepler
-48.6,37.65880949200498,-14.890137536490137,22.76867195551484,58154.237759,10.90001871202682,False,0.07944,Kepler,11.383270243087857,2.7963303404355267e-29,2017jgh,2.834857400328975e-29,K,0.0,Kepler
-48.6,37.65880949200498,-12.421060609148846,25.23774888285613,58154.258193,105.86124679532496,False,0.07944,Kepler,2.604132249352223,2.7963303404355267e-29,2017jgh,2.9167583300708765e-30,K,0.0,Kepler
-48.6,37.65880949200498,-15.246382807857167,22.41242668414781,58154.278626,7.851986101832187,False,0.07944,Kepler,10.582044897888732,2.7963303404355267e-29,2017jgh,3.9357665137103636e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.128828075981467,22.52998141602351,58154.29906,8.74714578485494,False,0.07944,Kepler,10.964654701656736,2.7963303404355267e-29,2017jgh,3.531892150945518e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.607060815988113,23.051748676016864,58154.319494,14.135291707822889,False,0.07944,Kepler,11.182897220096992,2.7963303404355267e-29,2017jgh,2.1842408726725205e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.757283901342568,22.90152559066241,58154.339927,12.315714519496042,False,0.07944,Kepler,11.383470743126809,2.7963303404355267e-29,2017jgh,2.5083594058477085e-29,K,0.0,Kepler
-48.6,37.65880949200498,-11.969192731637044,25.689616760367933,58154.360361,160.5086536399994,False,0.07944,Kepler,1.7590241908586495,2.7963303404355267e-29,2017jgh,1.9237706553855735e-30,K,0.0,Kepler
-48.6,37.65880949200498,-15.782399560449925,21.876409931555052,58154.380794,4.7928368478617305,False,0.07944,Kepler,7.9852549462882845,2.7963303404355267e-29,2017jgh,6.4481632987544e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.920824263033346,21.73798522897163,58154.421662,4.220649756762448,False,0.07944,Kepler,7.242983808798609,2.7963303404355267e-29,2017jgh,7.324970979418442e-29,K,0.0,Kepler
-48.6,37.65880949200498,-16.316327264008812,21.342482227996165,58154.462529,2.934044391327914,False,0.07944,Kepler,5.288191125662436,2.7963303404355267e-29,2017jgh,1.0544041553914098e-28,K,0.0,Kepler
-48.6,37.65880949200498,-15.619050100201441,22.039759391803535,58154.503396,5.569140632356107,False,0.07944,Kepler,8.85872062910681,2.7963303404355267e-29,2017jgh,5.54748636260604e-29,K,0.0,Kepler
